series_id,freq,status,n,median_lag,p90_lag,config_lag,gap_vs_config,revised_pct,vintage_now
TGCRRATE,D,OK,1087,473.0,1081.0,miss->1,472.0,0.0,
PCEPILFE,M,OK,49,58.0,67.0,miss->1,57.0,95.9,Y
M2SL,M,OK,49,55.0,57.0,miss->1,54.0,98.0,Y
CPIAUCSL,M,OK,49,42.0,44.0,miss->1,41.0,87.5,Y
DEXTAUS,D,OK,1083,5.0,7.0,1,4.0,0.0,
IORB,D,OK,1522,-1.0,-1.0,miss->1,-2.0,0.0,
DFEDTARU,D,OK,1522,0.0,0.0,miss->1,-1.0,0.0,
RPONTSYD,D,OK,1087,0.0,0.0,miss->1,-1.0,0.0,
BAMLH0A1HYBB,D,OK,795,0.0,0.0,miss->1,-1.0,0.0,
BAMLC0A0CM,D,OK,795,0.0,0.0,miss->1,-1.0,0.0,
BAMLEMHYHYLCRPIUSOAS,D,OK,795,0.0,0.0,miss->1,-1.0,0.0,
BAMLH0A0HYM2,D,OK,795,0.0,0.0,1,-1.0,0.0,
DFEDTARL,D,OK,1522,0.0,0.0,miss->1,-1.0,0.0,
RRPONTSYD,D,OK,1087,0.0,0.0,1,-1.0,0.0,
RRPONTSYAWARD,D,OK,1087,0.0,0.0,miss->1,-1.0,0.0,
T10YIE,D,OK,1087,0.0,0.0,1,-1.0,0.0,
VIXCLS,D,OK,1087,0.0,0.0,1,-1.0,0.0,
BAMLH0A3HYC,D,OK,795,0.0,0.0,miss->1,-1.0,0.0,
WRBWFRBL,W,OK,218,1.0,1.0,miss->1,0.0,0.0,
WALCL,W,OK,218,1.0,1.0,1,0.0,0.0,
SOFR,D,OK,1087,1.0,3.0,1,0.0,0.0,
EFFR,D,OK,1087,1.0,3.0,1,0.0,0.0,
WDTGAL,W,OK,218,1.0,1.0,1,0.0,0.0,
H41RESPPALDKNWW,W,OK,207,1.0,143.0,miss->1,0.0,0.0,
WLCFLPCL,W,OK,218,1.0,1.0,miss->1,0.0,0.0,
DGS2,D,OK,1086,1.0,3.0,miss->1,0.0,0.0,
DGS10,D,OK,1086,1.0,3.0,miss->1,0.0,0.0,
T10Y2Y,D,OK,1087,0.0,0.0,0,0.0,0.0,
DFII10,D,OK,1086,1.0,3.0,1,0.0,0.0,
T10Y3M,D,OK,1087,0.0,0.0,0,0.0,0.0,
DTWEXEMEGS,D,OK,1083,5.0,7.0,5,0.0,87.8,
NFCILEVERAGE,W,NO-recent-period,0,,,,,,
NFCI,W,NO-recent-period,0,,,,,,
NFCIRISK,W,NO-recent-period,0,,,,,,
NFCICREDIT,W,NO-recent-period,0,,,,,,
ANFCI,W,NO-recent-period,0,,,,,,
SP500,D,FAIL: Bad Request.  The series does not exist in ALFRED but may ex,0,,,,,,
